Ticker,EPS Estimate,EPS Actual,GICS_SECTOR_NAME,,
ARMK UN Equity,1.203333333,1.19,Consumer Discretionary,,
ARNC UN Equity,1.045,-2.304489,Industrials,,
ARW UN Equity,5.838,5.75,Information Technology,,
ARX CT Equity,0.24125,0.57,Energy,,
ASML NA Equity,3.212307694,3.46,Information Technology,,
ASSAB SS Equity,6.127142857,5.99,Industrials,,
AST AT Equity,0.14752,0.1395,Utilities,,
ASX AT Equity,2.192577778,2.204,Financials,,
ATC NA Equity,-0.46625,-1.42,Consumer Discretionary,,
ATCOA SS Equity,10.35285714,9.81,Industrials,,
ATD/B CT Equity,2.17,2.1,Consumer Staples,,
ATH UN Equity,3.417142857,4.31,Financials,,
ATL IM Equity,1.23875,1.36,Industrials,,
ATO FP Equity,5.834,5.58,Information Technology,,
ATO UN Equity,3.335,3.38,Utilities,,
ATVI UW Equity,1,1.3,Information Technology,,
AUTO LN Equity,0.118925,0.1267,Information Technology,,
AV/ LN Equity,0.260016667,0.153,Financials,,
AVGO UW Equity,-1.046,-4.75,Information Technology,,
AVT UN Equity,4.123333333,3.87,Information Technology,,
AVY UN Equity,3.673333333,3.6,Materials,,
AWC AT Equity,0.011375,-0.01,Materials,,
AWK UN Equity,2.845333333,2.63,Utilities,,
AXP UN Equity,5.754117647,5.67,Financials,,
AXS UN Equity,4.556666667,5.13,Financials,,
AXTA UN Equity,0.57,0.18,Materials,,
AYI UN Equity,7.01375,6.67,Industrials,,
AZJ AT Equity,0.066925,0.035,Industrials,,
AZN LN Equity,1.925,2.77,Health Care,,
AZO UN Equity,40.808,41.52,Consumer Discretionary,,
B4B GY Equity,1.411428571,1.39,Consumer Staples,,
BA UN Equity,7.396875,7.7,Industrials,,
BA/ LN Equity,0.317481818,0.288,Industrials,,
BAB LN Equity,0.56396,0.57,Industrials,,
BAC UN Equity,1.47,1.58,Financials,,
BAER SE Equity,2.793125,2.85,Financials,,
BALN SE Equity,10.75,11.53,Financials,,
BAM/A CT Equity,1.63,1.58,Financials,,
BARC LN Equity,0.090242857,0.096263,Financials,,
BARN SE Equity,41.01,39.57,Consumer Staples,,
BAS GY Equity,4.468,4.42,Materials,,
BATS LN Equity,2.77584,2.502,Consumer Staples,,
BAX UN Equity,8.956666667,9.09,Health Care,,
BAYN GY Equity,5.603333333,5.44,Health Care,,
BB CT Equity,-0.134,-0.4,Information Technology,,
BB FP Equity,6.11375,5.32,Industrials,,
BBD/B CT Equity,-0.304615385,-0.48,Industrials,,
BBT UN Equity,2.780454545,2.81,Financials,,
BBVA SQ Equity,0.525,0.53726,Financials,,
BBY UN Equity,2.291666667,2.59,Consumer Discretionary,,
BCE CT Equity,3.373333333,3.33,Telecommunication Services,,
BCR UN Equity,7.412,7.15,Health Care,,
BDEV LN Equity,0.54225,0.551,Consumer Discretionary,,
BDX UN Equity,6.168,4.59,Health Care,,
BEI GY Equity,3.050416667,3.13,Consumer Staples,,
BEN AT Equity,0.82556,0.904,Financials,,
BEN UN Equity,2.801538462,2.94,Financials,,
BEZQ IT Equity,0.5172,0.45,Telecommunication Services,,
BF/B UN Equity,2.49,2.63,Consumer Staples,,
BG UN Equity,4.7175,5.07,Consumer Staples,,
BHGE UN Equity,-5.175,-2.08,Energy,,
BHP AT Equity,-1.01,-1.2,Materials,,
BIIB UW Equity,17.67888889,16.96,Health Care,,
BIM FP Equity,1.474,1.513333333,Health Care,,
BIRG ID Equity,0.666922308,0.659999868,Financials,,
BK UN Equity,3.13,3.16,Financials,,
BKG LN Equity,2.833914286,2.958,Consumer Discretionary,,
BKIA SQ Equity,0.293684211,0.280712,Financials,,
BKT SQ Equity,0.542941176,0.54,Financials,,
BLD AT Equity,0.313200519,0.296321622,Materials,,
BLK UN Equity,18.93875,19.29,Financials,,
BLL UN Equity,1.1175,0.83,Materials,,
BLT LN Equity,-1.01,-1.2,Materials,,
BMO CT Equity,6.6975,6.94,Financials,,
BMRN UW Equity,-3.727222222,-3.8,Health Care,,
BMW GY Equity,10.32866667,10.45,Consumer Discretionary,,
BMY UN Equity,2.737142857,2.67,Health Care,,
BN FP Equity,2.870909091,2.79,Consumer Staples,,
BNP FP Equity,5.992105263,6,Financials,,
BNR GY Equity,2.333333333,2.33,Industrials,,
BNS CT Equity,5.693333333,5.8,Financials,,
BNZL LN Equity,0.84555,0.807,Industrials,,
BOKA NA Equity,-4.78,-4.397114,Industrials,,
BOL FP Equity,0.187142857,0.15,Industrials,,
BOL SS Equity,13.86076923,15.49,Materials,,
BOQ AT Equity,0.911525,0.898,Financials,,
BOSS GY Equity,2.894166667,2.8,Consumer Discretionary,,
BP/ LN Equity,-0.024166667,0.0061,Energy,,
BR UN Equity,2.5475,2.6,Information Technology,,
BRBY LN Equity,0.705955556,0.7,Consumer Discretionary,,
BSL AT Equity,0.674157143,0.621,Materials,,
BSX UN Equity,0.332,0.26,Health Care,,
BT/A LN Equity,0.288868421,0.285,Telecommunication Services,,
